"Occupation - National Occupational Classification (NOC) 2016 (693A)","Total - Period of immigration [4]","  1980 to 1990","  1991 to 2000","  2001 to 2010","    2001 to 2005","    2006 to 2010","  2011 to 2016 [5]", 
"          0911 Manufacturing managers",13370,3640,4020,4025,2180,1850,1680 
"          0912 Utilities managers",1085,280,260,375,205,175,160 
"    1 Business, finance and administration occupations",575730,117560,174595,197645,101490,96160,85930 
"      11 Professional occupations in business and finance",159890,29905,48520,57215,30955,26260,24250 
"        111 Auditors, accountants and investment professionals",112650,20745,34400,41725,23275,18450,15770 
"          1111 Financial auditors and accountants",61270,11000,18725,23400,13490,9910,8150 
"          1112 Financial and investment analysts",18270,2915,5690,6900,3960,2935,2765 
"          1113 Securities agents, investment dealers and brokers",4670,850,1620,1525,690,835,680 
"          1114 Other financial officers",28435,5985,8370,9905,5140,4765,4185 
"        112 Human resources and business service professionals",47240,9160,14115,15485,7680,7805,8475 
"          1121 Human resources professionals",10650,2475,3315,3255,1645,1610,1605 
"          1122 Professional occupations in business management consulting",21800,3875,6485,7585,3835,3745,3860 
"          1123 Professional occupations in advertising, marketing and public relations",14785,2805,4315,4650,2200,2455,3015 
"      12 Administrative and financial supervisors and administrative occupations",159500,35935,48590,51985,25770,26210,23000 
"        121 Administrative services supervisors",18275,3855,5355,6100,3045,3055,2960 
"          1211 Supervisors, general office and administrative support workers",1925,420,580,630,310,320,290 
"          1212 Supervisors, finance and insurance office workers",4240,940,1340,1300,695,605,655 
"          1213 Supervisors, library, correspondence and related information workers",395,150,120,100,50,45,30 
"          1214 Supervisors, mail and message distribution occupations",875,265,290,235,135,100,90 
"          1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",10835,2075,3025,3840,1855,1980,1900 
"        122 Administrative and regulatory occupations",85160,19300,26060,27885,14055,13830,11915 
"          1221 Administrative officers",43800,9930,13580,14250,7300,6955,6035 
"          1222 Executive assistants",6305,1740,1895,1805,855,955,870 
"          1223 Human resources and recruitment officers",6170,1025,1780,2065,1005,1065,1295 
"          1224 Property administrators",11185,2745,3655,3415,1820,1595,1370 
"          1225 Purchasing agents and officers",8040,1625,2165,3055,1540,1510,1200 
"          1226 Conference and event planners",3830,690,1085,1310,570,740,745 
"          1227 Court officers and justices of the peace",480,140,205,100,70,30,30 
"          1228 Employment insurance, immigration, border services and revenue officers",5350,1405,1700,1875,895,980,370 
"        124 Office administrative assistants - general, legal and medical",51610,11935,15870,16270,7760,8515,7540 
"          1241 Administrative assistants",37285,8445,11310,11735,5555,6175,5795 
"          1242 Legal administrative assistants",6250,1375,2065,1995,985,1005,810 
"          1243 Medical administrative assistants",8075,2110,2490,2545,1215,1330,930 
"        125 Court reporters, transcriptionists, records management technicians and statistical officers",4455,845,1305,1730,910,815,580 
"          1251 Court reporters, medical transcriptionists and related occupations",845,175,230,315,120,195,125 
"          1252 Health information management occupations",690,180,205,225,145,80,75 
"          1253 Records management technicians",1465,260,405,595,335,255,210 
"          1254 Statistical officers and related research support occupations",1455,225,465,595,310,285,170 
"      13 Finance, insurance and related business administrative occupations",36525,8140,10960,12700,6720,5980,4720 
"        131 Finance, insurance and related business administrative occupations",36520,8140,10960,12700,6720,5980,4720 
"          1311 Accounting technicians and bookkeepers",26560,5520,7770,9635,5020,4620,3630 
"          1312 Insurance adjusters and claims examiners",4125,1285,1365,1125,625,500,355 
"          1313 Insurance underwriters",3285,830,975,1070,590,475,415 
"          1314 Assessors, valuators and appraisers",1350,285,470,415,260,155,180 
"          1315 Customs, ship and other brokers",1200,225,385,455,230,230,135 
"      14 Office support occupations",151265,29790,46175,53250,27215,26040,22050 
"        141 General office workers",75825,14870,23070,26455,13130,13320,11430 
"          1411 General office support workers",46765,9635,14065,16525,8290,8235,6545 
"          1414 Receptionists",26620,4800,8255,9125,4410,4710,4440 
"          1415 Personnel clerks",2120,345,655,710,385,325,410 
"          1416 Court clerks",320,90,90,95,45,50,40 
"        142 Office equipment operators",9160,1860,2790,3095,1525,1570,1410 
"          1422 Data entry clerks",8880,1800,2700,3010,1480,1530,1370 
"          1423 Desktop publishing operators and related occupations",275,60,90,90,45,40,40 
"        143 Financial, insurance and related administrative support workers",55285,10880,17000,19705,10390,9315,7700 
"          1431 Accounting and related clerks",37830,7120,11385,13870,7350,6520,5450 
"          1432 Payroll administrators",6660,1650,2015,2325,1215,1110,665 
"          1434 Banking, insurance and other financial clerks",7020,1410,2435,2200,1200,1000,975 
"          1435 Collectors",3780,695,1165,1305,625,685,610 
"        145 Library, correspondence and other clerks",10995,2180,3315,3995,2170,1825,1510 
